Brand,Model,Year,Age,Kilometer,Fuel Type,Engine,Max Power,Transmission,Seats,Price
Audi,Q5 Premium,2023,2,3903,Other,2000,268,Automatic,5,3586033
Ford,Shelby GT500 Base,2022,3,3299,Petrol,5200,300,Automatic,5,7922917
Lincoln,Navigator L Reserve,2019,6,104374,Petrol,3500,450,Automatic,5,3919383
Mercedes-Benz,EQS 450+ Base,2022,3,26132,Other,,329,Automatic,5,5210749
RAM,1500 Laramie,2022,3,29050,Petrol,5700,305,Automatic,5,4002783
Lincoln,Town Car Base,2004,21,58780,Petrol,4600,239,Automatic,6,1242660
Acura,TLX w/A-Spec Package,2022,3,23973,Petrol,2000,355,Automatic,5,3335833
Toyota,Camry Hybrid LE,2022,3,22608,Other,2500,215,Automatic,5,2501917
Honda,CR-V EX,2003,22,360492,Petrol,2400,185,Manual,5,325260
Mercedes-Benz,E-Class E 550,2014,11,129682,Petrol,4700,577,Automatic,5,2168400
Mazda,MX-5 Miata Grand Touring,2007,18,131000,Petrol,2000,181,Manual,5,917400
Porsche,718 Boxster Base,2019,6,10783,Petrol,2000,345,Automatic,5,5254200
Ford,Transit-350 XLT,2015,10,230136,Petrol,3700,320,Automatic,5,1876500
Kia,Sportage SX Turbo,2017,8,141368,Petrol,2000,240,Automatic,5,1558579
INFINITI,G37 S Sport,2010,15,187409,Petrol,3700,328,Manual,5,1376100
Nissan,Titan XD S,2019,6,86385,Petrol,5600,390,Automatic,5,2326860
Audi,S7 2.9T Prestige,2021,4,19312,Other,2900,444,Automatic,5,6463500
Land,Rover Discovery HSE,2019,6,32242,Petrol,3000,340,Automatic,7,3669433
Ford,Transit-350 XLT,2020,5,51499,Diesel,2000,275,Automatic,10,5671200
INFINITI,Q70 3.7,2014,11,113156,Petrol,3700,420,Automatic,5,1667583
Jeep,Gladiator Rubicon,2022,3,14153,Petrol,3600,285,Automatic,5,4503600
Lincoln,MKX Base,2010,15,251057,Petrol,3500,335,Automatic,5,492060
Porsche,911 Carrera 4S,2020,5,41148,Petrol,3000,518,Manual,5,11258917
Mercedes-Benz,AMG C 43 Base 4MATIC,2018,7,107987,Petrol,3000,416,Automatic,5,2856450
Porsche,Cayman Base,2014,11,83686,Petrol,2700,325,Automatic,5,3085800
Acura,MDX 3.7L Advance,2011,14,220801,Petrol,3700,300,Automatic,7,1000800
Volkswagen,Golf R 4-Door w/DCC & Navigation,2018,7,57936,Petrol,2000,328,Automatic,5,2668800
Kia,Forte GT-Line,2023,2,24945,Petrol,2000,300,Automatic,5,2043300
BMW,M8 Competition,2020,5,17551,Petrol,4400,591,Automatic,5,8089633
Lincoln,MKC Select,2019,6,80168,Petrol,2000,285,Automatic,5,2213853
BMW,i8 Base,2015,10,1362,Other,1500,503,Automatic,4,7255717
Toyota,Highlander XLE,2021,4,107889,Petrol,3500,295,Automatic,8,2889393
Mazda,CX-30 Premium Package,2023,2,4242,Petrol,2500,250,Automatic,5,2379819
Porsche,Cayenne Platinum Edition,2018,7,80734,Petrol,3600,468,Automatic,5,3632070
Lincoln,MKZ Reserve,2017,8,60149,Petrol,3000,400,Automatic,5,2293500
Tesla,Model 3 Standard Range Plus,2021,4,34762,Other,,460,Automatic,5,2585400
Porsche,718 Cayman S,2019,6,15289,Petrol,2500,350,Automatic,5,5754600
Chevrolet,Corvette Base,2005,20,230289,Petrol,6000,638,Automatic,5,1334400
Acura,RSX Type S,2002,23,128747,Petrol,2000,203,Manual,5,708900
Ferrari,Roma Base,2021,4,4828,Petrol,3900,612,Automatic,4,22935000
Porsche,Cayman S,2007,18,9424,Petrol,3400,324,Manual,2,3753000
Rolls-Royce,Phantom Drophead Coupe Drophead,2013,12,4760,Petrol,6800,603,Automatic,4,40772592
Audi,SQ7 4.0T,2022,3,46553,Petrol,4000,500,Automatic,7,6246660
Mercedes-Benz,AMG GLS 63 4MATIC,2022,3,6602,Other,4000,612,Automatic,5,12064978
