Brand,Model,Year,Age,Kilometer,Fuel Type,Engine,Max Power,Transmission,Seats,Price
Maruti,Swift Dzire VDI,2019,6,25000,Diesel,1248,74,Manual,5,675000
Maruti,Swift Dzire VDI,2019,6,35000,Diesel,1248,74,Manual,5,694000
Maruti,Swift Dzire VDI,2019,6,30000,Diesel,1248,74,Manual,5,700000
Maruti,Swift Dzire VDI,2019,6,24000,Diesel,1248,74,Manual,5,750000
Maruti,Swift Dzire VDI,2019,6,10000,Diesel,1248,74,Manual,5,754000
Maruti,Swift Dzire VDI,2019,6,25000,Diesel,1248,74,Manual,5,757000
Maruti,Swift Dzire VDI,2019,6,27000,Diesel,1248,74,Manual,5,770000
Maruti,Swift Dzire VDI,2019,6,35700,Diesel,1248,74,Manual,5,800000
Maruti,Swift Dzire Vdi BSIV,2010,15,120000,Diesel,1248,74,Manual,5,320000
Maruti,Swift Dzire Vdi BSIV,2011,14,170000,Diesel,1248,74,Manual,5,250000
Maruti,Swift Dzire Vdi BSIV,2011,14,60000,Diesel,1248,74,Manual,5,265000
Maruti,Swift Dzire Vdi BSIV,2011,14,80600,Diesel,1248,74,Manual,5,347000
Maruti,Swift Dzire Vdi BSIV,2011,14,60000,Diesel,1248,74,Manual,5,500000
Maruti,Swift Dzire Vdi BSIV,2012,13,100000,Diesel,1248,74,Manual,5,371000
Maruti,Swift Dzire Vdi BSIV,2017,8,82050,Diesel,1248,74,Manual,5,650000
Maruti,Swift Dzire VDI Optional,2015,10,80000,Diesel,1248,74,Manual,5,525000
Maruti,Swift Dzire VDI Optional,2016,9,80000,Diesel,1248,74,Manual,5,690000
Maruti,Swift Dzire VDI Optional,2017,8,41232,Diesel,1248,74,Manual,5,589000
Maruti,Swift Dzire VDI Optional,2017,8,35000,Diesel,1248,74,Manual,5,675000
Maruti,Swift Dzire VDI Optional,2018,7,52200,Diesel,1248,74,Manual,5,690000
Maruti,Swift Dzire VDI Optional,2018,7,44885,Diesel,1248,74,Manual,5,751000
Maruti,Swift Dzire VXi,2008,17,123000,Petrol,1298,86,Manual,5,160000
Maruti,Swift Dzire VXi,2008,17,100000,Petrol,1298,86,Manual,5,200000
Maruti,Swift Dzire VXi,2008,17,70000,Petrol,1298,86,Manual,5,250000
Maruti,Swift Dzire VXi,2009,16,120000,Petrol,1298,86,Manual,5,240000
Maruti,Swift Dzire VXi,2009,16,60000,Petrol,1298,86,Manual,5,250000
Maruti,Swift Dzire VXi,2009,16,80000,Petrol,1298,86,Manual,5,250000
Maruti,Swift Dzire VXi,2009,16,35000,Petrol,1298,86,Manual,5,280000
Maruti,Swift Dzire VXi,2010,15,80000,Petrol,1298,86,Manual,5,231000
Maruti,Swift Dzire VXi,2010,15,143000,Petrol,1298,86,Manual,5,240000
Maruti,Swift Dzire VXi,2010,15,60000,Petrol,1298,86,Manual,5,240000
Maruti,Swift Dzire VXi,2011,14,70000,Petrol,1298,86,Manual,5,275000
Maruti,Swift Dzire VXi,2011,14,100000,Petrol,1298,86,Manual,5,300000
Maruti,Swift Dzire VXi,2012,13,69000,Petrol,1298,86,Manual,5,285000
Maruti,Swift Dzire VXi,2012,13,88000,Petrol,1298,86,Manual,5,300000
Maruti,Swift Dzire VXI,2012,13,100000,Petrol,1197,86,Manual,5,310000
Maruti,Swift Dzire VXi,2012,13,30000,Petrol,1298,86,Manual,5,350000
Maruti,Swift Dzire VXi,2012,13,112048,Petrol,1298,86,Manual,5,380000
Maruti,Swift Dzire VXI,2013,12,120000,Petrol,1197,86,Manual,5,385000
Maruti,Swift Dzire VXI,2013,12,35000,Petrol,1197,86,Manual,5,409999
Maruti,Swift Dzire VXI,2013,12,67000,Petrol,1197,86,Manual,5,450000
Maruti,Swift Dzire VXI,2013,12,35000,Petrol,1197,86,Manual,5,459999
Maruti,Swift Dzire VXi,2014,11,50000,Petrol,1298,86,Manual,5,220000
Maruti,Swift Dzire VXI,2014,11,70000,Petrol,1197,86,Manual,5,400000
Maruti,Swift Dzire VXI,2014,11,120000,Petrol,1197,86,Manual,5,400000
Maruti,Swift Dzire VXI,2014,11,100000,Petrol,1197,86,Manual,5,400000
Maruti,Swift Dzire VXI,2014,11,50000,Petrol,1197,86,Manual,5,400000
Maruti,Swift Dzire VXI,2014,11,70000,Petrol,1197,86,Manual,5,409000
Maruti,Swift Dzire VXI,2014,11,30000,Petrol,1197,86,Manual,5,450000
Maruti,Swift Dzire VXI,2014,11,50000,Petrol,1197,86,Manual,5,450000
